tgn_uri,pleiades_uri,tgn_label,tgn_parentstring
http://vocab.getty.edu/tgn/1009672,http://pleiades.stoa.org/places/462242,Vulcano,"Eolie, Isole, Messina, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1010316,http://pleiades.stoa.org/places/142847211,Strofádhes,"Zákinthos, Iónioi Nísoi, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1010516,http://pleiades.stoa.org/places/462281,Lilibeo,"Trapani, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1011283,http://pleiades.stoa.org/places/570702,Matapan,"Lakonía, Pelopónnisos, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1011873,http://pleiades.stoa.org/places/462416,Pelorus,"Messina, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1025930,http://pleiades.stoa.org/places/128487,Parndorf,"Burgenland, Österreich, Europe, World"
http://vocab.getty.edu/tgn/1026197,http://pleiades.stoa.org/places/197273,Wagna,"Steiermark, Österreich, Europe, World"
http://vocab.getty.edu/tgn/1026293,http://pleiades.stoa.org/places/108762,Asse,"Vlaams-Brabant, Vlaams Gewest, België, Europe, World"
http://vocab.getty.edu/tgn/1026457,http://pleiades.stoa.org/places/109019,Grobbendonk,"Antwerpen, Vlaams Gewest, België, Europe, World"
http://vocab.getty.edu/tgn/1026497,http://pleiades.stoa.org/places/109048,Hofstade,"Oost-Vlaanderen, Vlaams Gewest, België, Europe, World"
http://vocab.getty.edu/tgn/1026538,http://pleiades.stoa.org/places/108898,Kontich,"Antwerpen, Vlaams Gewest, België, Europe, World"
http://vocab.getty.edu/tgn/1026593,http://pleiades.stoa.org/places/109146,Martelange,"Luxembourg, Wallonne, Région, België, Europe, World"
http://vocab.getty.edu/tgn/1026707,http://pleiades.stoa.org/places/109292,Rumst,"Antwerpen, Vlaams Gewest, België, Europe, World"
http://vocab.getty.edu/tgn/1026806,http://pleiades.stoa.org/places/109439,Wervik,"West-Vlaanderen, Vlaams Gewest, België, Europe, World"
http://vocab.getty.edu/tgn/1026850,http://pleiades.stoa.org/places/481983,Blagoevgrad,"Blagoevgrad, Bǎlgarija, Europe, World"
http://vocab.getty.edu/tgn/1026894,http://pleiades.stoa.org/places/216981,Kazanlŭk,"Stara Zagora, Bǎlgarija, Europe, World"
http://vocab.getty.edu/tgn/1026907,http://pleiades.stoa.org/places/206909,Lom,"Montana, Bǎlgarija, Europe, World"
http://vocab.getty.edu/tgn/1026916,http://pleiades.stoa.org/places/207293,Montana,"Montana, Bǎlgarija, Europe, World"
http://vocab.getty.edu/tgn/1026947,http://pleiades.stoa.org/places/216688,Razgrad,"Razgrad, Bǎlgarija, Europe, World"
http://vocab.getty.edu/tgn/1026962,http://pleiades.stoa.org/places/216731,Eski-Zagra,"Stara Zagora, Bǎlgarija, Europe, World"
http://vocab.getty.edu/tgn/1026963,http://pleiades.stoa.org/places/216899,Svishtov,"Veliko Tŭrnovo, Bǎlgarija, Europe, World"
http://vocab.getty.edu/tgn/1027597,http://pleiades.stoa.org/places/128442,Trenčín,"Trenčiansky, Slovensko, Europe, World"
http://vocab.getty.edu/tgn/1028667,http://pleiades.stoa.org/places/79639,Brough,"East Riding of Yorkshire, England, United Kingdom, Europe, World"
http://vocab.getty.edu/tgn/1028763,http://pleiades.stoa.org/places/79553,Castleford,"Leeds, West Yorkshire, England, United Kingdom, Europe, World"
http://vocab.getty.edu/tgn/1028769,http://pleiades.stoa.org/places/89143,Catterick,"North Yorkshire, England, United Kingdom, Europe, World"
http://vocab.getty.edu/tgn/1028818,http://pleiades.stoa.org/places/89146,Chester-le-Street,"Durham, England, United Kingdom, Europe, World"
http://vocab.getty.edu/tgn/1029077,http://pleiades.stoa.org/places/79668,Droitwich,"Worcestershire, England, United Kingdom, Europe, World"
http://vocab.getty.edu/tgn/1029780,http://pleiades.stoa.org/places/89230,Lanchester,"Durham, England, United Kingdom, Europe, World"
http://vocab.getty.edu/tgn/1029934,http://pleiades.stoa.org/places/79647,Limes,"Kent, England, United Kingdom, Europe, World"
http://vocab.getty.edu/tgn/1030052,http://pleiades.stoa.org/places/79667,Middlewich,"Cheshire, England, United Kingdom, Europe, World"
http://vocab.getty.edu/tgn/1030211,http://pleiades.stoa.org/places/79400,Northwich,"Cheshire, England, United Kingdom, Europe, World"
http://vocab.getty.edu/tgn/1030406,http://pleiades.stoa.org/places/89193,Ravenglas,"Cumbria, England, United Kingdom, Europe, World"
http://vocab.getty.edu/tgn/1030684,http://pleiades.stoa.org/places/89104,Arbeia,"South Tyneside, Tyne and Wear, England, United Kingdom, Europe, World"
http://vocab.getty.edu/tgn/1030980,http://pleiades.stoa.org/places/89288,Wallsend,"North Tyneside, Tyne and Wear, England, United Kingdom, Europe, World"
http://vocab.getty.edu/tgn/1031696,http://pleiades.stoa.org/places/138167,Ahun,"Limousin, France, Europe, World"
http://vocab.getty.edu/tgn/1031774,http://pleiades.stoa.org/places/167644,Andance,"Rhône-Alpes, France, Europe, World"
